mes,nom_usina,cod_razaorestricao,curtailment_mwh,generation_mwh,pct_curtailment,last_instante
2025-01,ALEGRIA I,CNF,27.439500,391.337000,0.0701173157662066,2025-01-31 14:30:00
2025-01,ALEGRIA I,ENE,524.114500,1275.761500,0.4108248289355024,2025-01-26 16:30:00
2025-01,ALEGRIA I,NAN,0.000000,5927.820500,0.0,2025-01-31 23:30:00
2025-01,ALEGRIA I,REL,0.000000,50.152500,0.0,2025-01-11 17:00:00
2025-01,ALEGRIA II,CNF,52.687000,711.844500,0.074014760246093,2025-01-31 14:30:00
2025-01,ALEGRIA II,ENE,1182.184500,2380.353500,0.4966424104655044,2025-01-26 16:30:00
2025-01,ALEGRIA II,NAN,0.000000,10326.503000,0.0,2025-01-31 23:30:00
2025-01,ALEGRIA II,REL,3.096500,108.743000,0.0284753961174512,2025-01-11 17:00:00
2025-01,CATAVENTOS ACARAÚ I,ENE,0.000000,0.000000,0.0,2025-01-26 15:00:00
2025-01,CATAVENTOS ACARAÚ I,NAN,0.000000,0.000000,0.0,2025-01-31 23:30:00
2025-01,CATAVENTOS ACARAÚ I,REL,0.000000,0.000000,0.0,2025-01-31 22:30:00
2025-01,CONJ. ACARAÚ II,ENE,236.605000,1293.392500,0.1829336415666551,2025-01-26 16:30:00
2025-01,CONJ. ACARAÚ II,NAN,0.000000,4884.531000,0.0,2025-01-31 23:30:00
2025-01,CONJ. ACARAÚ II,REL,85.678500,205.188000,0.4175609684776887,2025-01-31 22:30:00
2025-01,CONJ. ACAUÃ,ENE,632.456500,1946.248000,0.3249619267431489,2025-01-26 16:30:00
2025-01,CONJ. ACAUÃ,NAN,0.000000,16391.612500,0.0,2025-01-31 23:30:00
2025-01,CONJ. AFONSO BEZERRA,CNF,221.311000,1986.851500,0.1113877911862059,2025-01-31 14:30:00
2025-01,CONJ. AFONSO BEZERRA,ENE,1437.656500,4930.053000,0.2916107595597856,2025-01-26 14:30:00
2025-01,CONJ. AFONSO BEZERRA,NAN,0.000000,28303.855000,0.0,2025-01-31 23:30:00
2025-01,CONJ. AFONSO BEZERRA,REL,48.575000,310.740500,0.1563201449440932,2025-01-11 17:00:00
2025-01,CONJ. ANEMUS,ENE,1066.450500,3967.217000,0.2688157718622399,2025-01-26 16:30:00
2025-01,CONJ. ANEMUS,NAN,0.000000,32601.900500,0.0,2025-01-31 23:30:00
2025-01,CONJ. ARACATI II,CNF,24.375000,25.727500,0.94742979302303,2025-01-03 08:30:00
2025-01,CONJ. ARACATI II,ENE,1076.811000,3048.970000,0.3531720548250721,2025-01-26 16:30:00
2025-01,CONJ. ARACATI II,NAN,0.000000,21192.858500,0.0,2025-01-31 23:30:00
2025-01,CONJ. ARACATI II,REL,844.331000,874.147000,0.9658913203385702,2025-01-24 09:30:00
2025-01,CONJ. ARAÇÁS,ENE,820.253500,1795.903000,0.4567359707066584,2025-01-26 16:30:00
2025-01,CONJ. ARAÇÁS,NAN,0.000000,13341.861500,0.0,2025-01-31 03:30:00
2025-01,CONJ. ARAÇÁS,REL,5269.566000,5936.952000,0.8875877723114486,2025-01-31 23:30:00
2025-01,CONJ. AREIA BRANCA,CNF,8.456000,12.544000,0.6741071428571428,2025-01-03 08:30:00
2025-01,CONJ. AREIA BRANCA,ENE,406.567000,1123.335000,0.3619285431327253,2025-01-26 16:30:00
2025-01,CONJ. AREIA BRANCA,NAN,0.000000,8509.376500,0.0,2025-01-31 23:30:00
2025-01,CONJ. AREIA BRANCA,REL,54.437500,118.408500,0.4597431772212298,2025-01-24 09:30:00
2025-01,CONJ. ARIZONA,ENE,947.682500,3922.129000,0.2416245105655627,2025-01-26 16:30:00
2025-01,CONJ. ARIZONA,NAN,0.000000,24019.229500,0.0,2025-01-31 23:30:00
2025-01,CONJ. ARIZONA,REL,1433.071000,1674.320500,0.8559119953437827,2025-01-31 17:00:00
2025-01,CONJ. ASA BRANCA,CNF,551.168000,4360.956500,0.1263869520367836,2025-01-31 20:00:00
2025-01,CONJ. ASA BRANCA,ENE,1574.647500,4033.602000,0.3903824670852504,2025-01-26 14:30:00
2025-01,CONJ. ASA BRANCA,NAN,0.000000,13131.299000,0.0,2025-01-31 23:30:00
2025-01,CONJ. ASA BRANCA,REL,357.790500,925.752500,0.386486128851934,2025-01-31 16:00:00
2025-01,CONJ. ATLÂNTICA,ENE,963.286500,2002.380000,0.4810707757768255,2025-01-26 14:00:00
2025-01,CONJ. ATLÂNTICA,NAN,0.000000,29662.850000,0.0,2025-01-31 23:30:00
2025-01,CONJ. AVENTURA,CNF,198.966000,3375.825000,0.0589384817044722,2025-01-31 20:00:00
2025-01,CONJ. AVENTURA,ENE,892.167500,3168.373000,0.2815853752067702,2025-01-26 14:00:00
2025-01,CONJ. AVENTURA,NAN,0.000000,15771.135500,0.0,2025-01-31 23:30:00
2025-01,CONJ. AVENTURA,REL,118.578500,802.160000,0.1478240001994614,2025-01-25 18:00:00
2025-01,CONJ. BABILÔNIA,ENE,228.222500,2729.505500,0.0836131306568167,2025-01-26 16:30:00
2025-01,CONJ. BABILÔNIA,NAN,0.000000,15537.971500,0.0,2025-01-31 23:30:00
2025-01,CONJ. BABILÔNIA,REL,908.994500,2061.343000,0.4409719779774642,2025-01-31 21:30:00
2025-01,CONJ. BABILÔNIA CENTRO,CNF,0.000000,0.022000,0.0,2025-01-30 10:00:00
2025-01,CONJ. BABILÔNIA CENTRO,ENE,4144.615000,5148.547000,0.8050067329675732,2025-01-26 16:30:00
2025-01,CONJ. BABILÔNIA CENTRO,NAN,0.000000,14692.403500,0.0,2025-01-31 23:30:00
2025-01,CONJ. BABILÔNIA CENTRO,REL,120.662500,144.777000,0.8334369409505654,2025-01-31 17:30:00
2025-01,CONJ. BABILÔNIA SUL,CNF,399.559000,1547.096000,0.2582638698568156,2025-01-30 10:00:00
2025-01,CONJ. BABILÔNIA SUL,ENE,1501.116500,8663.609000,0.1732668798880466,2025-01-26 16:30:00
2025-01,CONJ. BABILÔNIA SUL,NAN,0.000000,67097.370000,0.0,2025-01-31 23:30:00
2025-01,CONJ. BABILÔNIA SUL,REL,1055.445500,3517.815500,0.300028668359668,2025-01-31 17:30:00
2025-01,CONJ. BAIXA DO FEIJÃO,CNF,31.245000,3853.127000,0.0081089982240398,2025-01-31 20:00:00
2025-01,CONJ. BAIXA DO FEIJÃO,ENE,333.810500,3227.962000,0.1034121529311683,2025-01-26 14:30:00
2025-01,CONJ. BAIXA DO FEIJÃO,NAN,0.000000,13612.539000,0.0,2025-01-31 23:30:00
2025-01,CONJ. BAIXA DO FEIJÃO,REL,182.011500,986.397500,0.184521453065321,2025-01-31 16:00:00
2025-01,CONJ. BLOCO SUL,CNF,827.978000,5147.679000,0.1608449167090644,2025-01-31 20:00:00
2025-01,CONJ. BLOCO SUL,ENE,2896.622500,6101.052500,0.4747742295284297,2025-01-26 14:30:00
2025-01,CONJ. BLOCO SUL,NAN,0.000000,23954.979500,0.0,2025-01-31 23:30:00
2025-01,CONJ. BLOCO SUL,REL,552.714500,2049.892500,0.2696309684532238,2025-01-31 16:00:00
2025-01,CONJ. BOM JARDIM,ENE,145.437000,261.843500,0.5554348303471349,2025-01-26 14:00:00
2025-01,CONJ. BOM JARDIM,NAN,0.000000,9875.295000,0.0,2025-01-31 23:30:00
2025-01,CONJ. BRISA POTIGUAR I,CNF,1144.945000,5048.098500,0.2268071829422504,2025-01-31 20:00:00
2025-01,CONJ. BRISA POTIGUAR I,ENE,2665.822500,5223.620000,0.5103400515351424,2025-01-26 16:30:00
2025-01,CONJ. BRISA POTIGUAR I,NAN,0.000000,17214.603500,0.0,2025-01-31 23:30:00
2025-01,CONJ. BRISA POTIGUAR I,REL,435.160000,1571.280500,0.2769460958753068,2025-01-31 16:00:00
2025-01,CONJ. BROTAS DE MACAÚBAS,CNF,289.344000,436.052500,0.6635531272037197,2025-01-30 06:30:00
2025-01,CONJ. BROTAS DE MACAÚBAS,ENE,741.673000,2521.565000,0.2941320172194649,2025-01-26 16:30:00
2025-01,CONJ. BROTAS DE MACAÚBAS,NAN,0.000000,20287.228000,0.0,2025-01-31 23:30:00
2025-01,CONJ. BROTAS DE MACAÚBAS,REL,4591.421000,5066.008000,0.906319334671402,2025-01-31 22:30:00
2025-01,CONJ. BW GUIRAPÁ I,ENE,610.485000,659.402500,0.925815416229086,2025-01-26 16:30:00
2025-01,CONJ. BW GUIRAPÁ I,NAN,0.000000,3549.084000,0.0,2025-01-31 04:00:00
2025-01,CONJ. BW GUIRAPÁ I,REL,1384.768500,1454.072000,0.9523383298763746,2025-01-31 23:30:00
2025-01,CONJ. BW GUIRAPÁ II,ENE,119.793500,597.055000,0.2006406444967381,2025-01-26 16:30:00
2025-01,CONJ. BW GUIRAPÁ II,NAN,0.000000,4279.848500,0.0,2025-01-31 04:00:00
2025-01,CONJ. BW GUIRAPÁ II,REL,1005.266000,1231.305000,0.8164232257645343,2025-01-31 23:30:00
2025-01,CONJ. CABEÇO PRETO II,CNF,79.090000,4064.101000,0.0194606384044097,2025-01-31 20:00:00
2025-01,CONJ. CABEÇO PRETO II,ENE,643.902000,3670.995000,0.1754025815889152,2025-01-26 16:30:00
2025-01,CONJ. CABEÇO PRETO II,NAN,0.000000,16775.755500,0.0,2025-01-31 23:30:00
2025-01,CONJ. CABEÇO PRETO II,REL,246.826500,1384.491500,0.1782795343994527,2025-01-31 16:00:00
2025-01,CONJ. CACIMBAS,ENE,787.696000,3224.677500,0.2442712488303093,2025-01-26 14:00:00
2025-01,CONJ. CACIMBAS,NAN,0.000000,19483.652500,0.0,2025-01-31 23:30:00
2025-01,CONJ. CACIMBAS,REL,2624.673000,2982.608500,0.8799924629732666,2025-01-31 22:30:00
2025-01,CONJ. CAETITÉ,ENE,446.129000,1027.173500,0.4343268201525837,2025-01-26 16:30:00
2025-01,CONJ. CAETITÉ,NAN,0.000000,9547.208000,0.0,2025-01-31 04:00:00
2025-01,CONJ. CAETITÉ,REL,2974.836500,3266.313500,0.9107626992938674,2025-01-31 23:30:00
2025-01,CONJ. CAETITÉ 123,ENE,473.163500,1081.039000,0.4376932747107181,2025-01-26 16:30:00
2025-01,CONJ. CAETITÉ 123,NAN,0.000000,8304.224500,0.0,2025-01-31 03:30:00
2025-01,CONJ. CAETITÉ 123,REL,2027.750000,2302.207000,0.8807852638793993,2025-01-31 23:30:00
2025-01,CONJ. CAETITÉ A,ENE,35.325000,294.984000,0.1197522577495728,2025-01-26 16:30:00
2025-01,CONJ. CAETITÉ A,NAN,0.000000,2533.776000,0.0,2025-01-31 03:30:00
2025-01,CONJ. CAETITÉ A,REL,82.141500,198.479000,0.4138548662578912,2025-01-31 23:30:00
2025-01,CONJ. CAETITÉ NORTE,ENE,677.489500,2521.919500,0.2686404145731059,2025-01-26 16:30:00
2025-01,CONJ. CAETITÉ NORTE,NAN,0.000000,15390.298000,0.0,2025-01-31 03:30:00
2025-01,CONJ. CAETITÉ NORTE,REL,4858.180500,5492.482500,0.8845145159770651,2025-01-31 23:30:00
2025-01,CONJ. CAETÉS II,ENE,1278.402000,5039.927000,0.2536548644454572,2025-01-26 16:30:00
2025-01,CONJ. CAETÉS II,NAN,0.000000,51999.911000,0.0,2025-01-31 23:30:00
2025-01,CONJ. CAETÉS II,REL,230.952500,363.771500,0.6348834364429319,2025-01-31 15:30:00
2025-01,CONJ. CAJU,CNF,145.052500,8285.334500,0.0175071386677266,2025-01-31 14:30:00
2025-01,CONJ. CAJU,ENE,3065.062500,18170.213500,0.168686102670175,2025-01-26 16:30:00
2025-01,CONJ. CAJU,NAN,0.000000,117043.895000,0.0,2025-01-31 23:30:00
2025-01,CONJ. CAJU,REL,533.644000,3615.124500,0.1476142799508011,2025-01-24 02:30:00
2025-01,CONJ. CALANGO 1,ENE,101.641500,524.224500,0.1938892592772752,2025-01-26 16:30:00
2025-01,CONJ. CALANGO 1,NAN,0.000000,2173.123500,0.0,2025-01-31 23:30:00
2025-01,CONJ. CALANGO 2,ENE,12.444500,312.458000,0.039827752849983,2025-01-26 16:30:00
2025-01,CONJ. CALANGO 2,NAN,0.000000,5116.922000,0.0,2025-01-31 23:30:00
2025-01,CONJ. CALANGO 3,ENE,628.061000,2236.848500,0.2807794090659247,2025-01-26 16:30:00
2025-01,CONJ. CALANGO 3,NAN,0.000000,11611.763000,0.0,2025-01-31 23:30:00
2025-01,CONJ. CAMPO DOS VENTOS,CNF,467.817500,3224.917500,0.1450634008466883,2025-01-31 20:00:00
2025-01,CONJ. CAMPO DOS VENTOS,ENE,1604.753000,3574.354500,0.4489630225541423,2025-01-26 14:30:00
2025-01,CONJ. CAMPO DOS VENTOS,NAN,0.000000,11580.459000,0.0,2025-01-31 23:30:00
2025-01,CONJ. CAMPO DOS VENTOS,REL,388.161000,1045.277000,0.3713474992753117,2025-01-31 16:00:00
2025-01,CONJ. CAMPO FORMOSO,CNF,191.774000,4894.215500,0.0391838079054753,2025-01-31 23:30:00
2025-01,CONJ. CAMPO FORMOSO,ENE,667.642000,2813.030000,0.2373390969879453,2025-01-26 16:30:00
2025-01,CONJ. CAMPO FORMOSO,NAN,0.000000,20500.700500,0.0,2025-01-31 19:00:00
2025-01,CONJ. CAMPO FORMOSO,REL,2553.530000,2847.949000,0.896620690890181,2025-01-31 22:30:00
2025-01,CONJ. CAMPO LARGO,ENE,1523.713500,6170.081000,0.2469519443910055,2025-01-26 16:30:00
2025-01,CONJ. CAMPO LARGO,NAN,0.000000,46385.872500,0.0,2025-01-31 23:30:00
2025-01,CONJ. CAMPO LARGO,REL,5132.414500,6916.490000,0.7420547850137859,2025-01-31 17:30:00
2025-01,CONJ. CAMPO LARGO 2,ENE,1320.846500,7215.911000,0.1830463956664654,2025-01-26 16:30:00
2025-01,CONJ. CAMPO LARGO 2,NAN,0.000000,61223.008000,0.0,2025-01-31 23:30:00
2025-01,CONJ. CAMPO LARGO 2,REL,6059.731000,8545.959000,0.7090755993563741,2025-01-31 17:30:00
2025-01,CONJ. CANUDOS I,ENE,72.387500,1041.035500,0.0695341321213349,2025-01-26 14:30:00
2025-01,CONJ. CANUDOS I,NAN,0.000000,21892.198000,0.0,2025-01-31 23:30:00
2025-01,CONJ. CANUDOS I,REL,67.824000,230.204500,0.2946249964705295,2025-01-31 16:00:00
2025-01,CONJ. CARNAÚBAS,CNF,120.292000,1952.647500,0.0616045650840717,2025-01-31 20:00:00
2025-01,CONJ. CARNAÚBAS,ENE,1404.466000,3093.633500,0.4539859036307953,2025-01-26 14:30:00
2025-01,CONJ. CARNAÚBAS,NAN,0.000000,12945.033500,0.0,2025-01-31 23:30:00
2025-01,CONJ. CARNAÚBAS,REL,208.436500,497.585500,0.4188958480502345,2025-01-25 18:00:00
2025-01,CONJ. CASA NOVA,ENE,268.503000,1090.852000,0.2461406313597078,2025-01-26 16:30:00
2025-01,CONJ. CASA NOVA,NAN,0.000000,3396.505000,0.0,2025-01-31 23:30:00
2025-01,CONJ. CASA NOVA,REL,183.612000,190.370500,0.9644981759253666,2025-01-31 17:00:00
2025-01,CONJ. CERRO CHATO,ENE,145.742500,727.378500,0.2003667966540116,2025-01-26 14:00:00
2025-01,CONJ. CERRO CHATO,NAN,0.000000,24478.782500,0.0,2025-01-31 23:30:00
2025-01,CONJ. CHAFARIZ NORTE,ENE,741.673000,3038.889500,0.2440605359293255,2025-01-26 16:30:00
2025-01,CONJ. CHAFARIZ NORTE,NAN,0.000000,17442.840500,0.0,2025-01-31 23:30:00
2025-01,CONJ. CHAFARIZ NORTE,REL,1090.678000,1999.458000,0.545486826930098,2025-01-31 21:30:00
2025-01,CONJ. CHAFARIZ SUL I,ENE,0.424000,1020.630500,0.0004154294820701,2025-01-26 16:30:00
2025-01,CONJ. CHAFARIZ SUL I,NAN,0.000000,8046.034000,0.0,2025-01-31 23:30:00
2025-01,CONJ. CHAFARIZ SUL I,REL,96.961500,608.429500,0.159363574580128,2025-01-31 21:30:00
2025-01,CONJ. CHAFARIZ SUL II,ENE,659.751000,3127.245000,0.2109687600427852,2025-01-26 16:30:00
2025-01,CONJ. CHAFARIZ SUL II,NAN,0.000000,18258.699500,0.0,2025-01-31 23:30:00
2025-01,CONJ. CHAFARIZ SUL II,REL,1026.274000,2082.112000,0.4929004779762087,2025-01-31 21:30:00
2025-01,CONJ. CHAPADA I,ENE,558.113000,1857.840000,0.3004096154674245,2025-01-26 15:00:00
2025-01,CONJ. CHAPADA I,NAN,0.000000,15971.474500,0.0,2025-01-31 23:30:00
2025-01,CONJ. CHAPADA I,REL,72.773500,78.574000,0.9261778705424186,2025-01-31 16:00:00
2025-01,CONJ. CHAPADA II,ENE,756.255000,2524.146500,0.2996082041989243,2025-01-26 15:00:00
